nose x,nose y,L eye x,L eyey,R eye x,R eye y,L ear x,L ear y,R ear x,R ear y,L shoulder x,L shoulder y,R shoulder x,R shoulder y,L elbow x,L elbow y,R elbow x,R elbow y,L wrist x,L wrist y,R wrist x,R wrist y,L pelvis x,L pelvis y,R pelvis x,R pelvis y,L knee x,L knee y,R knee x,R knee y,L ankle x,L ankle y,R ankle x,R ankle y
258.17241200229574,806.7949682363153,234.70628169544955,849.1554138250444,240.0335813823499,820.530123423381,254.45780971594021,862.7590270528135,253.51220448811847,811.8603649327423,341.1986019736842,869.4710421274943,325.5906677246094,803.563896922919,445.8627152024654,972.7995789978094,418.9566695899294,781.4576271617008,435.1219766181812,857.4943457245174,485.51016556589224,709.9077105652724,496.8876340096457,890.5514275675143,482.60879650450585,826.6908927658432,540.3416397697047,854.5003968287924,458.5513171815035,741.2474088470359,564.6566424453467,736.7776084807982,570.2138746830454,698.5610196467688
264.1744827805904,740.8037809056494,250.7003757409882,749.8674186714899,251.23047544245134,744.0182170888811,261.429219162255,775.819057702757,253.51220448811847,811.8603649327423,341.1986019736842,869.4710421274943,323.61031114009387,785.5434334996235,445.8627152024654,972.7995789978094,414.834004452354,772.6522536345667,440.79083559805883,851.0742829271632,537.197345934416,693.7398927653084,476.3431472109075,896.2216377049391,482.26089343690035,828.4561061963585,550.556406389203,892.2041553108742,433.9145432857045,749.0690835073248,562.1561886971457,740.1484925853983,569.0151883844743,700.7822915418777
264.1744827805904,740.8037809056494,250.7003757409882,749.8674186714899,247.18671296772203,740.2990789507462,263.0714925130208,772.7660491040867,262.52235211824114,751.131563050854,356.3847832930715,860.5268330067429,323.20977595814486,763.9428291446146,441.1146605642218,964.0556152026206,426.7819152066582,767.0428366520057,440.79083559805883,851.0742829271632,551.1369243421052,686.9882038362969,476.3431472109075,896.2216377049391,482.26089343690035,828.4561061963585,534.7790925544605,835.7184285793743,452.80838146544335,711.8813067433084,554.0560806006715,764.0485200746166,575.3043713485985,683.8103452517456
264.1744827805904,740.8037809056494,252.50159681889048,733.916863966876,252.01045387669612,736.2625676935369,261.099798637524,762.796436259676,259.42980046857866,744.6534192522932,358.4154336494312,837.6689069399044,335.33539086057425,777.2258685844229,440.25075879013326,962.4529561338393,414.4044809174119,780.1911841034237,440.79083559805883,851.0742829271632,536.7535989326343,694.1060149578249,493.8811613384046,891.0213768782517,470.01098749930395,826.4387530591114,551.0156745241399,871.7613208515882,424.5441985548588,750.6521736805175,560.6197603961878,739.7432565845769,575.3043713485985,683.8103452517456
264.1744827805904,740.8037809056494,242.6795758699116,824.1921766433632,254.63176794219433,795.326403715002,261.099798637524,762.796436259676,260.72285434655976,787.8371373455469,358.3256611071135,839.1316054345222,326.92190270674854,771.2234734392114,438.2084782918294,961.5790216084508,414.66063850804375,768.7096198626181,440.79083559805883,851.0742829271632,534.4048322711075,695.7968641032525,493.166613662452,891.1209156583722,471.4506075465888,835.5929916398549,553.544253968356,871.854288157602,430.49842165227517,765.5879884951738,563.6035437332956,739.4363025610967,575.9580003169544,705.4614164220803
264.1744827805904,740.8037809056494,262.41429044489274,725.1195339775294,268.8591244346217,731.8908932070611,269.1818622957196,755.1039342472874,260.72285434655976,787.8371373455469,357.5832112630208,841.259857879672,329.46095449882637,756.2141837948384,438.54204746714805,962.5615245071193,417.4115191007915,750.335991515779,393.4063667163514,854.7207761933744,535.4767488178454,695.9942926112298,497.7542890582168,871.7718940392251,474.9134261148017,824.1869408564656,529.9228400514836,861.036623634096,434.31488840203536,743.9530351519716,555.0492142794425,765.7997183157345,569.997812906901,700.141739275996
287.4464376349198,739.4894546224672,264.5193739104689,722.0107480704066,275.4045479757744,736.9268614987293,271.9736765142073,748.6986636175383,272.42043478447096,741.4151465592483,360.640331067537,835.212328138905,344.1118688750685,764.5939203368873,436.93045499032,962.7915795818216,426.9791131270559,759.2936962248854,442.133594981411,833.5295220298809,522.0093389143024,685.753712648891,493.39754071152,897.0640886730849,484.205297503555,836.8962159005339,549.9995710138688,877.0575118299904,431.5428911175644,766.1287613165731,564.6374886496025,737.6144011414978,577.648716976768,705.673953805278
290.42867693984715,740.1818727324069,273.76933482655306,722.4825411375616,284.17423047517474,734.9564357394065,275.0159655119243,744.5559127490073,278.9692246286493,740.3667564433872,345.4104748106839,839.3153874375342,346.94046689752946,762.9283999456633,436.7202638324938,961.133328591354,429.9652410808362,760.9272227961027,441.47617540861427,837.0541686008951,548.3140671044065,686.7234536512527,476.5621734083744,902.4613877429106,483.8124887566817,836.4118467834405,555.5496376439145,892.675139478368,434.87049571254795,763.556928352615,564.7763302451685,738.4913446399233,578.2894040827165,706.2990982038951
287.7216807582922,748.1464779572837,273.76933482655306,722.4825411375616,282.8609011466043,735.45986714525,266.25938883998936,774.365990462204,276.5025329589844,742.1589010516498,359.1067638731839,833.616095017499,345.6079222026624,764.9936638421584,436.7490888896741,958.7352552967552,429.969637017501,759.5286230816376,442.52042937697024,836.8874276402485,548.1333414713541,686.6473381986754,496.0672278153269,892.1960368997296,471.8174244437301,842.5111253786453,550.6568814997087,871.51895579477,453.26599656489856,756.2879835214437,566.0153599789268,739.0591306989321,573.6739764297217,689.0473274490006
290.863702924628,745.0354592196912,273.10767792818837,759.3924805890822,287.97413140012503,731.7894966317685,269.5696286255853,780.9663536514666,282.02044035259047,740.6024898600082,359.7251088995682,836.8896704983998,345.84044071665977,761.559181505853,434.05056936699043,957.551590417066,428.81463402195976,759.6388654092577,423.3968139113041,828.0022030148292,547.5124238666735,687.417984259481,494.98190762703877,894.059898150842,473.511433685035,840.557099224312,551.2674672980057,870.9418600360248,434.0074934039199,767.5149613011706,566.3967092413651,739.0889677317223,573.6739764297217,689.0473274490006
