R hip,L hip,R knee,L knee,L pelvis,R pelvis,R shoulder,R elbow
65.89611858736387,132.60867221086292,95.19576379193836,141.35036899197578,62.923348247087134,176.87858500066503,21.699397937588785,146.24862930561835
43.523271929891976,165.70492562432995,78.32634224694702,97.46108253163143,81.91056238477844,143.6679721899463,23.178929092886175,155.22538361122486
53.742857055129896,117.43335367393668,88.72794298501947,151.0502551179749,39.01345526893025,160.83019923738559,20.36373523340594,145.51383131060646
38.96589889165076,139.87428645788796,82.94994768563046,112.7898110682109,91.65568084929764,169.3237640934146,17.925464357637086,142.72192978898062
35.66580642118932,141.21735533942834,82.13085998985252,112.04218685686503,93.66161581114022,171.03242209322187,25.64817700421615,150.30375046392504
38.11289147508729,149.2647344009645,81.05547915743475,123.23443956963708,97.18623351178408,178.80157590924,28.871282429764204,159.10856419852746
26.04651773875133,135.55264071708413,75.82330635546491,115.4591112577641,79.21980376455126,152.0310901023556,30.957960865994586,145.92486316294415
27.877515855238475,147.2277022982469,77.87145393972806,100.48735856959811,76.67293431341058,139.84351936465148,29.611084479302065,149.2933704789654
46.29946647837779,136.0975847849446,107.03832249456299,117.35913887872894,95.2703681975704,166.12672649300288,35.26461126160036,152.04094981817323
29.84617278683949,134.75791963689025,90.92202100733395,118.87499639663335,89.53609396581366,173.45921473746972,33.073424440044505,150.00764617804452
30.4869056897698,130.5062637558314,91.69650625969886,118.81674628904608,91.06104137611182,176.46369262341068,20.407411365890503,109.33112896364966
29.846997444624627,134.8572876859567,89.11916664533963,118.25180605483712,64.7773342727174,146.04995681646918,20.93448812429929,131.72132226298768
122.94851758459808,138.60172533782642,23.808264742957945,176.8842336683065,13.889779874291142,169.8887806242114,3.4684198558481087,174.25469714787258
179.95822710730963,145.3751354252663,86.06973442324967,157.2754622263781,137.18845096260034,71.50186994051282,4.179027969449434,172.61862607886715
176.31921126924604,145.75692605745868,173.056915889549,157.48980484626105,138.0328946748878,71.12506343631922,1.344450248603058,166.8543374291671
177.18133953339745,132.85942412720425,174.24440901776015,147.94424329686112,148.0911284842408,72.83817848256727,3.481073572536116,171.66312425709947
179.64652178354743,132.52224305623432,169.00211254779023,147.20714058062197,149.64224744647262,72.86682856147654,5.677556872225642,175.82769462439433
163.4129791017991,135.50113018179457,171.1826721318823,149.61959012972903,142.05994952041831,94.89892603672801,2.9428491293336103,173.68520736743014
156.68616957006995,137.17166680744958,173.52112543728936,150.84249261576187,145.30712432270323,94.39925684056416,1.9641875305408067,158.5198940220545
160.24537682096405,137.26625971216302,170.34549076986295,152.15027430933077,146.95560357844508,88.76052965477884,0.9486068788368991,160.86949161566133
156.95818066550555,161.8898877986476,163.89012694562882,170.29714866403336,123.64626271721734,91.77164592370796,0.8151044856639341,161.17964458696193
141.55557107421214,134.7469430561206,160.25033597896117,150.4874655204643,148.24816585454099,110.7270741352062,2.4605341757748045,164.16595272178708
172.64420725754135,139.2671382128645,179.45164217792941,153.478358389564,134.89686341732198,73.94346128579119,2.946519470361952,173.23339400696594
