L pelvis,R pelvis,L knee,R knee
2.450718532624794,2.413304344917856,2.226742450454991,2.241049228691217
2.5187003409099047,2.2139435107588357,2.1406210768591145,2.441807129453373
2.2299885457215813,2.2928664141912978,2.4251737675341247,2.4784561999304255
1.8470605137533007,2.303478912076532,2.64635306769197,2.746644084479411
1.6362182671692644,2.5594784805444526,2.824384684910364,2.487836919860036
1.6389558213237505,2.5530228028731705,2.8250427880160496,2.4944148747132795
1.9631714849148632,1.9360174311586487,2.806407499059621,2.8562205934854608
1.956860798252285,1.9167615020575903,2.8584940164392214,2.8023454181572287
1.9106286715735816,1.938375954977473,2.8765076663402365,2.9021930800766835
2.0529417927525757,1.575131329497076,2.9194005173385866,3.1387980336302257
2.0515454089136154,1.5784269865257687,2.9203238382299035,3.122947982091857
1.8562856928002596,1.8320272942158915,2.965496034765127,3.0380418183427476
1.839036078989887,1.8274785291265006,2.9757364530743353,3.0788037005160094
1.810660405052087,1.7993530788831469,3.028219983033395,3.1230124083138815
1.8264054645691068,1.7517050922839055,3.024401126315372,3.1021837008543445
1.8255206566819027,1.7515786007296916,3.0259739199547564,3.1023551777926808
1.793787740000099,1.787934479126949,3.031705557386625,3.1137775734264794
1.8188867806102986,1.7359109778244568,3.06882667452173,3.096258630477956
1.8010898085625489,1.7699678297443227,3.041363385403985,3.082384788179329
1.7892307378225065,1.7731155876515496,3.0537100286555465,3.076861352361228
1.7887201250949383,1.7732788762160165,3.0551983529365634,3.0777361475863025
1.7683674133749057,1.7926008964147524,3.071437803414799,3.0805794309314347
1.7480291411596478,1.801418849804856,3.0872577429969006,3.077496659680384
1.7466835703496253,1.7958039398720802,3.0931275692278772,3.077133111518748
1.7512061473825271,1.7983991249115967,3.091728592731532,3.1004304853640448
1.7524222735185986,1.7973950693524627,3.0890722731800486,3.0989501964528383
1.7852781451607342,1.8079548944191954,3.055496661004612,3.129143766862505
1.8073814956884064,1.7787038292461188,3.0277612767324436,3.128108476101359
1.8114625050599036,1.836383709559567,2.994136174274901,3.0659023368067726
1.87015637545891,1.8592375289680367,2.915337101669828,3.015686349412897
