L pelvis,R pelvis,L knee,R knee
140.41582869389487,138.27215364437706,127.58294447368979,128.40266248505517
144.31089939229918,126.84961924685766,122.64855324077668,139.90524290263292
127.76893203236283,131.3715685204563,138.95222146554636,142.00507996404554
105.82877194332968,131.97961985937175,151.62486188024815,157.37111386524418
93.7484010710078,146.64731468975393,161.8253221667507,142.54255562480648
93.90525137024835,146.2774316052926,161.86302869719094,142.91944467572492
112.48144054605241,110.92562786914998,160.79530528998083,163.6493853650681
112.11986483445719,109.82234440105618,163.77964290536676,160.56256519823305
109.47095909785331,111.06076132984968,164.81174901832117,166.28341482046693
117.62490031074353,90.24837735901268,167.26932835181012,179.83988007097378
117.54489341019082,90.4372045974794,167.32223074201883,178.9317390127604
106.35733576797294,104.96743191134252,169.91040695482263,174.06697417528974
105.36900569840802,104.70680686972396,170.49713970438876,176.40245798882722
103.7431993409327,103.09533727387462,173.50422446499132,178.93543036337238
104.64532479944023,100.36530873944217,173.2854200924834,177.74203333322825
104.59462904182355,100.35806130724166,173.37553453006515,177.75185823807877
102.7764668443159,102.44109969989535,173.7039331646104,178.4063132998241
104.21453594110781,99.4603726397692,175.8308165072627,177.40255180734317
103.19484455465944,101.41168651827955,174.25728594926835,176.6076391980018
102.51536985230794,101.59203976129258,174.9646964987365,176.29116963721322
102.48611389805262,101.60139550687929,175.04997119858558,176.34129171154817
101.3199894148483,102.70846571593337,175.98042317260024,176.50419984718408
100.15469225432584,103.2136972291294,176.88683894280658,176.32757006529465
100.07759672587554,102.89198658763524,177.22315521231673,176.30674028998314
100.33672130238361,103.04067973745504,177.14299976343816,177.64158148505715
100.40640019733607,102.98315159152001,176.99080386410006,177.55676717798497
102.28890297465401,103.58818500024024,175.0670629918795,179.28673133088998
103.55533167298788,101.91222241956086,173.47794252991073,179.22741353970738
103.789156286128,105.21703612434116,171.55136607339855,175.66326429832472
107.1520673432789,106.52646352220064,167.03651178358294,172.7861001565735
107.40954676252892,106.06014726715317,166.91817297155148,173.11424650149795
111.06640536081422,109.69988026743414,164.1226868045345,163.65169551075581
118.4469114357928,98.52749552939648,164.54156500034722,170.7205756120602
107.70979424960343,123.47693462200337,151.18264944188812,158.02792895084625
126.93240661867425,113.38860784289068,138.70382561944325,158.198245296959
126.66183541979781,113.51583866783115,138.93475033910244,158.43577581728775
124.94671485564757,114.89233560280461,138.6546284661117,161.1485891296181
131.50662567439218,129.36884959912126,129.84822253804646,143.59680846759554
133.92708382844964,119.79468088697682,126.98450004692462,157.45798831215933
153.08076006510717,131.37778650253298,108.10919927443562,144.216056639456
153.47243762263346,131.1466958417093,108.45395593715496,143.40918440269297
144.80568655834253,149.29547041277084,117.83901804005046,116.05087787946552
170.72366464881233,151.72143864735227,97.71806048149386,109.18603632888767
175.45309286786085,151.0420415049274,88.24110095860145,105.54815696535118
148.8992705626986,170.10166674781718,103.19958312948245,115.46254235535793
148.1546924592437,168.08623457850896,104.13278782039623,117.31313826643617
170.04838371844752,157.50087999882612,86.59785194057014,91.87105769349982
170.77456159644183,174.8206738449776,84.00405747894317,82.2074665562561
171.53098871470982,161.0381613205379,81.89598794298549,95.49953136284935
146.9303817480798,179.41325382199005,104.38166876497947,93.73649863137877
147.04290478236956,179.26077892394736,104.2942895215074,93.61665395902794
169.86647044847115,164.271715570144,92.65181823287254,101.46155290620754
179.18210649274727,129.38777892827304,100.62038192439971,120.70006782119592
162.29600231984006,147.76951109982673,108.5611076487914,110.73790076252818
140.5734615384932,150.24445276544878,122.7121847773326,120.3302727032377
141.31341545801206,149.18055830245189,122.47805607843135,120.87611937276957
121.40875408350237,137.80345308215072,136.48164340529286,142.28617395802058
130.45642620935743,122.61232217910042,139.14244593462067,145.75913175329362
113.76943619645348,114.91660182032223,164.1712860974624,161.56928955100568
112.18996902663645,111.09720775892792,165.28764328248772,161.99543195901495
113.09167178122287,109.95533927050494,165.07369115438755,162.825859605926
100.02780777089056,124.648073151577,163.25535891837404,161.1761656989609
119.77136641101482,96.91828341074262,167.21267256659894,164.74699596877696
111.16706467689522,107.44149754944706,166.2284793125178,165.89912454297914
116.77281379431217,95.91168628706882,167.64801344644033,172.03072164518434
116.33165628970283,96.48101904369967,167.64517821827923,171.7593652864901
105.4813793178984,105.01218368010345,170.94563431826137,173.03269793451764
123.47530315500772,88.13641282401007,168.3197521062621,176.57660888139662
118.35210065438126,86.39634002101424,175.7723021698827,179.6112211368538
104.76732532449289,100.60316261195436,172.1775167992044,175.63652589787108
104.79765180250148,100.59324938077467,172.3324429850298,175.77591622154682
123.71393348993809,82.39334935823543,170.80606784162887,173.64251199649303
120.21746615255819,81.4352893712412,174.90656233663904,173.41955016267605
104.73837993371134,99.59747737361783,175.62377838192594,178.66549654735658
116.37670522904878,84.33351072066041,174.43959426760043,174.19779926049063
116.33380787486459,84.3864351848576,174.38405361472826,174.2079239574064
